COUNTY,pcp,cardio
35029,11,NA
35031,82,1
35033,2,NA
35035,70,2
35037,11,NA
35039,36,NA
35041,40,2
35043,140,2
35045,139,8
35047,21,NA
35049,215,5
35051,9,NA
35053,21,3
35055,32,1
35057,24,NA
35061,52,3
36001,811,86
36003,75,2
36005,965,133
36007,403,21
36009,108,6
36011,196,9
36013,148,4
36015,185,13
36017,51,1
36019,113,10
36021,62,6
36023,64,3
36025,104,2
36027,300,40
36029,1807,82
36031,60,1
36033,56,1
36035,106,2
36037,75,1
36039,44,NA
36041,9,NA
36043,368,18
36045,142,3
36047,1183,207
36049,145,3
36051,83,2
36053,107,2
36055,1557,111
36057,66,2
36059,1772,356
36061,2273,644
36063,157,3
36065,431,20
36067,1017,68
36069,250,6
36071,392,36
36073,32,1
36075,82,2
36077,196,13
36079,123,16
36081,1171,178
36083,183,11
36085,288,47
36087,179,41
36089,140,6
36091,351,13
36093,315,25
36095,29,1
36097,72,2
36099,75,3
36101,129,5
36103,1581,223
36105,178,10
36107,164,4
36109,180,9
36111,232,13
36113,177,12
36115,98,11
36117,142,2
36119,690,144
36121,55,1
36123,129,4
37001,164,9
37003,198,5
37005,8,NA
37007,9,NA
37009,26,NA
37011,141,7
37013,365,39
37015,35,NA
37017,49,NA
37019,131,3
37021,929,53
37023,380,22
37025,764,27
37027,296,13
37029,52,4
37031,107,6
37033,79,2
37035,341,19
37037,419,12
37039,23,NA
37041,16,NA
37043,51,1
37045,159,5
37047,60,1
37049,188,24
37051,406,29
37053,11,NA
37055,35,NA
37057,426,26
37059,135,2
37061,52,NA
37063,960,91
37065,458,43
37067,1100,76
37069,97,2
37071,339,20
37073,4,NA
37075,14,NA
37077,116,2
37079,61,5
37081,983,70
37083,45,2
37085,275,10
37087,158,4
37089,270,8
37091,27,NA
37093,296,24
37095,13,NA
37097,346,15
37099,110,3
37101,566,39
37103,158,24
37105,83,8
37107,63,5
37109,113,3
37111,170,7
37113,87,3
37115,50,NA
37117,52,NA
37119,2043,111
37121,39,NA
37123,22,1
37125,286,27
37127,154,4
37129,514,35
37131,10,NA
37133,171,6
37135,624,52
37137,38,NA
37139,49,3
37141,314,34
37143,19,NA
37145,56,3
37147,434,39
37149,150,6
37151,360,17
37153,42,1
37155,196,8
37157,81,4
37159,273,7
37161,194,8
37163,99,2
37165,72,1
37167,75,3
37169,127,5
37171,107,9
37173,36,NA
37175,49,2
37177,3,NA
37179,297,20
37181,73,4
37183,1840,96
37185,2,NA
37187,7,NA
37189,135,10
37191,149,3
37193,198,9
37195,82,4
37197,35,NA
37199,42,NA
38001,4,NA
38003,17,NA
38005,17,NA
38007,2,NA
38009,5,NA
38011,2,NA
38013,9,NA
38015,253,15
38017,411,21
38019,1,NA
38021,15,NA
38023,2,NA
38025,35,NA
38027,7,NA
38029,30,NA
38031,7,NA
38033,2,NA
38035,159,9
38037,3,NA
38039,5,NA
38043,1,NA
38045,10,NA
38047,5,NA
38049,9,NA
38051,9,NA
38053,16,NA
38055,10,NA
38057,18,NA
38059,18,NA
38061,21,NA
38063,3,NA
38065,18,NA
38067,5,NA
38069,15,NA
38071,22,NA
38073,10,NA
38075,3,NA
38077,19,NA
38079,15,NA
38081,19,NA
38083,8,NA
38085,7,NA
38087,2,NA
38089,27,NA
38091,6,NA
38093,51,NA
38095,8,NA
38097,7,NA
38099,12,NA
38101,122,4
38103,13,NA
38105,32,1
39001,20,NA
39003,320,21
39005,181,15
39007,72,NA
39009,80,2
39011,182,13
39013,74,3
39015,67,1
39017,380,34
39019,16,1
39021,75,2
39023,193,12
39025,212,11
39027,86,8
39029,145,1
39031,52,1
39033,130,10
39035,2891,262
39037,52,1
39039,103,4
39041,569,24
39043,155,9
39045,299,17
39047,41,NA
39049,2588,180
39051,53,NA
39053,69,2
39055,301,15
39057,429,16
39059,49,3
39061,1347,140
39063,136,4
39065,21,NA
39067,50,4
39069,86,NA
39071,63,NA
39073,129,9
39075,27,NA
39077,79,3
39079,158,11
39081,93,6
39083,68,4
39085,314,16
39087,47,NA
39089,332,13
39091,75,1
39093,440,24
39095,851,68
39097,206,8
39099,481,27
39101,118,8
39103,389,8
39105,10,NA
39107,74,2
39109,185,4
39111,9,NA
39113,1177,79
39115,22,NA
39117,157,18
39119,178,9
39121,16,NA
39123,57,NA
39125,61,NA
39127,203,9
39129,92,4
39131,172,11
39133,296,10
39135,74,NA
39137,57,NA
39139,207,18
39141,169,11
39143,79,NA
39145,199,6
39147,78,NA
39149,100,3
39151,494,36
39153,1080,57
39155,245,15
39157,70,2
39159,330,20
39161,42,NA
39163,14,NA
39165,446,27
39167,152,7
39169,182,5
39171,91,4
39173,230,7
39175,39,2
40001,23,NA
40003,9,NA
40005,20,NA
40009,24,1
4001,134,NA
40011,26,NA
40013,63,3
40015,17,NA
40017,187,NA
40019,76,3
40021,90,2
40023,28,NA
40027,610,54
40029,13,NA
4003,93,4
40031,105,9
40033,2,NA
40035,50,NA
40037,157,1
40039,49,1
40041,63,1
40043,6,NA
40045,3,NA
40047,72,6
40049,32,NA
4005,233,10
40051,70,NA
40053,1,NA
40055,1,NA
40057,4,NA
40059,2,NA
40061,21,NA
40063,25,NA
40065,15,NA
40067,4,NA
40069,185,5
4007,48,3
40071,35,1
40073,25,NA
40075,29,NA
40077,35,1
40079,58,1
40081,57,NA
40083,68,2
40085,69,3
40087,108,8
40089,34,NA
4009,44,NA
40091,27,NA
40093,3,NA
40095,69,3
40097,54,1
40099,12,NA
40101,64,8
40103,27,1
40105,80,4
40107,37,NA
40109,1392,141
4011,5,NA
40111,30,NA
40113,96,8
40115,56,1
40117,14,NA
40119,71,5
4012,12,2
40121,70,2
40123,102,2
40125,97,3
40127,49,1
40129,28,1
4013,5190,396
40131,117,2
40133,90,3
40135,18,1
40137,48,NA
40139,10,NA
40141,6,NA
40143,1105,87
40145,79,1
40147,82,4
40149,50,1
4015,221,20
40151,7,NA
40153,9,NA
4017,148,1
4019,1208,94
4021,326,5
4023,45,3
4025,293,24
4027,168,14
41001,19,NA
41003,194,14
41005,477,18
41007,32,3
41009,33,NA
41011,85,8
41013,289,22
41015,18,NA
41017,348,22
41019,154,6
41021,2,NA
41023,8,NA
41025,8,NA
41027,37,NA
41029,513,26
41031,29,NA
41033,116,1
41035,134,6
41037,5,NA
41039,421,18
41041,48,NA
41043,129,1
41045,32,NA
41047,324,17
41049,29,NA
41051,1484,128
41053,65,NA
41055,1,NA
41057,19,NA
41059,45,NA
41061,33,2
41063,17,NA
41065,19,2
41067,739,63
41069,1,NA
41071,192,12
42001,191,18
42003,2179,228
42005,65,NA
42007,189,8
42009,66,NA
42011,574,35
42013,230,19
42015,165,8
42017,756,104
42019,367,23
42021,296,18
42023,5,NA
42025,89,6
42027,242,16
42029,691,53
42031,44,NA
42033,214,5
42035,49,NA
42037,116,1
42039,141,5
42041,414,46
42043,740,49
42045,581,88
42047,57,NA
42049,494,36
42051,196,9
42053,4,NA
42055,229,17
42057,17,1
42059,25,NA
42061,44,1
42063,102,4
42065,178,4
42067,24,NA
42069,374,28
42071,807,52
42073,101,6
42075,483,54
42077,1226,100
42079,524,39
42081,295,10
42083,36,1
42085,146,11
42087,86,3
42089,165,9
42091,1325,155
42093,310,27
42095,636,57
42097,103,1
42099,23,NA
42101,1922,377
42103,11,NA
42105,22,NA
42107,136,7
42109,50,NA
42111,172,12
42113,199,9
42115,16,NA
42117,51,1
42119,105,6
42121,105,4
42123,73,NA
42125,316,24
42127,47,NA
42129,566,38
42131,44,NA
42133,800,52
45001,140,9
45003,105,7
45005,11,NA
45007,329,16
45009,10,NA
45011,8,NA
45013,188,13
45015,366,10
45017,40,5
45019,1028,85
45021,98,NA
45023,28,NA
45025,95,6
45027,44,NA
45029,32,NA
45031,238,17
45033,42,1
45035,249,10
45037,64,NA
45039,23,NA
45041,265,19
45043,109,5
45045,915,57
45047,151,9
45049,17,NA
45051,409,27
45053,30,NA
45055,43,3
45057,62,5
45059,101,1
45061,51,5
45063,477,27
45065,15,NA
45067,24,1
45069,14,NA
45071,60,2
45073,77,3
45075,59,5
45077,141,2
45079,790,56
45081,46,NA
45083,461,15
45085,133,5
45087,15,NA
45089,47,2
45091,182,16
46003,16,NA
46005,31,NA
46007,5,NA
46009,8,NA
46011,37,NA
46013,69,1
46015,33,NA
46017,35,NA
46019,39,NA
46021,12,NA
46023,18,NA
46025,6,NA
46027,12,NA
46029,44,2
46031,5,NA
46033,18,NA
46035,24,NA
46037,7,NA
46039,4,NA
46041,11,NA
46043,17,NA
46045,3,NA
46047,7,NA
46049,10,NA
46051,8,NA
46053,15,NA
46055,5,NA
46057,50,2
46059,18,NA
46061,28,NA
46063,5,NA
46065,39,NA
46067,14,NA
46069,1,NA
46071,6,NA
46073,7,NA
46075,2,NA
46077,9,NA
46079,18,NA
46081,56,NA
46083,169,24
46085,14,NA
46087,16,NA
46089,4,NA
46091,26,NA
46093,263,11
46095,9,NA
46097,6,NA
46099,586,39
46101,42,NA
46103,265,11
46105,4,NA
46107,6,NA
46109,31,NA
46111,28,NA
46113,7,NA
46115,5,NA
46117,2,NA
46119,45,NA
46121,24,NA
46123,17,NA
46125,14,NA
46127,56,NA
46129,11,NA
46135,36,2
46137,11,NA
47001,211,15
47003,135,2
47005,19,NA
47007,59,NA
47009,437,37
47011,123,8
47013,66,NA
47015,73,NA
47017,202,9
47019,426,19
47021,123,1
47023,21,NA
47025,49,NA
47027,12,NA
47029,99,1
47031,87,2
47033,34,NA
47035,98,3
47037,1853,197
47039,17,NA
47041,35,NA
47043,63,3
47045,66,NA
47047,75,NA
47049,19,NA
47051,158,4
47053,60,NA
47055,94,1
47057,13,NA
47059,146,2
47061,73,NA
47063,114,5
47065,765,65
47067,36,NA
47069,41,NA
47071,47,NA
47073,354,24
47075,178,15
47077,41,1
47079,57,1
47081,86,3
47083,23,NA
47085,19,NA
47087,175,18
47089,166,1
47091,18,NA
47093,1221,77
47095,7,NA
47097,23,NA
47099,63,NA
47101,51,NA
47103,63,1
47105,179,6
47107,80,2
47109,23,NA
47111,35,NA
47113,318,25
47115,76,NA
47117,146,1
47119,148,1
47121,28,NA
47123,66,2
47125,193,4
47127,144,4
47129,57,NA
47131,82,2
47133,183,18
47135,24,NA
47137,13,NA
47139,29,NA
47141,176,18
47143,44,NA
47145,165,8
47147,157,2
47149,415,18
47151,26,NA
47153,95,NA
47155,340,27
47157,1062,104
47159,105,2
47161,14,NA
47163,476,32
47165,223,13
47167,66,NA
47169,70,NA
47171,105,1
47173,42,NA
47175,70,NA
47177,73,NA
47179,458,19
47181,82,NA
47183,136,3
47185,36,NA
47187,417,4
47189,197,6
48001,85,1
48003,6,NA
48005,98,16
48007,23,NA
48009,89,3
48011,6,NA
48013,32,3
48015,42,1
48017,12,NA
48019,16,3
48021,39,NA
48023,9,NA
48025,34,NA
48027,485,38
48029,1862,168
48031,40,NA
48033,10,NA
48035,37,NA
48037,178,9
48039,210,8
48041,242,19
48043,3,NA
48045,7,NA
48047,1,NA
48049,51,2
48051,19,NA
48053,99,10
48055,135,13
48057,10,NA
48059,132,10
48061,230,19
48063,18,NA
48065,6,NA
48067,47,1
48069,23,NA
48071,94,9
48073,25,NA
48075,11,NA
48077,52,1
48079,9,NA
48081,1,NA
48083,15,NA
48085,1005,108
48087,3,NA
48089,22,NA
48091,323,21
48093,10,NA
48095,4,NA
48097,91,4
48099,120,5
48101,10,NA
48103,2,NA
48105,2,NA
48107,7,NA
48109,2,NA
48111,5,NA
48113,2645,247
48115,8,NA
48117,33,NA
48119,4,NA
48121,1026,91
48123,37,1
48127,11,NA
48129,11,3
48131,22,2
48133,22,NA
48135,151,10
48137,23,1
48139,249,18
48141,483,50
48143,28,1
48145,21,NA
48147,17,NA
48149,32,1
48151,10,NA
48153,8,NA
48155,13,NA
48157,694,44
48159,49,2
48161,16,NA
48163,11,NA
48165,10,NA
48167,323,21
48169,3,NA
48171,81,5
48173,31,NA
48175,5,NA
48177,32,1
48179,10,3
48181,162,12
48183,171,15
48185,28,NA
48187,271,22
48189,19,1
48191,12,NA
48193,9,NA
48195,5,NA
48197,2,NA
48199,28,NA
48201,3803,507
48203,168,15
48205,12,NA
48207,3,NA
48209,286,30
48211,8,NA
48213,77,1
48215,535,38
48217,20,NA
48219,60,1
48221,89,5
48223,30,NA
48225,18,NA
48227,31,NA
48229,24,1
48231,98,2
48233,12,NA
48235,54,4
48237,24,NA
48239,16,NA
48241,33,NA
48243,1,NA
48245,261,27
48249,26,2
48251,222,20
48253,120,10
48255,3,NA
48257,179,6
48259,114,1
48263,11,NA
48265,96,5
48267,3,NA
48273,19,NA
48275,13,NA
48277,65,4
48279,12,NA
48281,52,NA
48285,19,NA
48287,36,1
48289,7,NA
48291,37,2
48293,18,NA
48295,14,NA
48297,29,NA
48299,50,1
48303,407,36
48305,39,1
48307,4,NA
48309,326,21
48311,2,2
48313,7,NA
48315,6,NA
48317,62,NA
48319,35,1
48321,23,1
48323,18,1
48325,55,3
48327,7,NA
48329,141,8
48331,26,NA
48333,48,2
48335,3,NA
48337,58,2
48339,469,61
48341,13,NA
48343,44,2
48345,18,NA
48347,49,5
48349,41,3
48351,26,NA
48353,11,NA
48355,365,27
48357,11,NA
48361,28,1
48363,34,NA
48365,27,1
48367,142,3
48369,14,NA
48371,7,NA
48373,46,2
48375,294,21
48377,3,NA
48379,4,NA
48381,300,21
48383,3,NA
48385,20,2
48387,7,NA
48389,4,NA
48391,1,NA
48393,21,3
48395,20,NA
48397,190,7
48399,4,NA
48401,49,1
48403,14,NA
48405,30,2
48407,28,2
48409,33,NA
48411,3,NA
48413,2,NA
48415,16,NA
48417,111,10
48419,10,NA
48421,14,NA
48423,452,44
48425,70,4
48427,13,1
48429,28,NA
48433,3,NA
48435,5,NA
48437,5,NA
48439,1991,147
48441,215,14
48443,7,NA
48445,8,NA
48447,7,NA
48449,44,2
48451,136,8
48453,1491,106
48455,66,16
48457,7,NA
48459,112,9
48461,1,NA
48463,20,2
48465,26,1
48467,47,NA
48469,117,9
48471,31,1
48473,108,3
48475,3,NA
48477,44,1
48479,95,6
48481,25,1
48483,12,NA
48485,188,13
48487,17,NA
48489,118,14
48491,670,32
48493,59,1
48495,4,NA
48497,105,2
48499,28,NA
48501,4,NA
48503,24,NA
48505,7,NA
48507,17,NA
49001,6,NA
49003,33,NA
49005,104,3
49007,27,NA
49009,1,NA
49011,315,18
49013,23,NA
49015,20,NA
49017,5,NA
49019,12,NA
49021,37,NA
49023,14,NA
49025,7,NA
49027,14,NA
49029,9,NA
49033,1,NA
49035,1369,77
49037,36,NA
49039,23,NA
49041,20,NA
49043,47,NA
49045,42,NA
49047,43,NA
49049,622,21
49051,272,15
49053,242,14
49055,1,NA
49057,294,21
5001,14,NA
5003,15,NA
5005,83,5
5007,366,14
5009,51,NA
5011,9,NA
5013,23,NA
5015,77,NA
5017,19,NA
5019,12,NA
5021,17,NA
5023,96,7
5025,72,7
5027,19,NA
5029,38,NA
5031,343,23
5033,32,1
5035,44,1
5037,23,NA
5039,15,NA
5041,14,NA
5043,25,1
5045,199,6
5047,28,NA
5049,35,NA
5051,186,11
5053,141,8
5055,290,22
5057,29,1
5059,187,11
5061,13,1
5063,89,4
5065,120,3
5067,21,1
5069,109,7
5071,28,NA
5073,16,NA
5075,30,NA
5077,18,NA
5079,86,8
5081,9,NA
5083,45,NA
5085,100,NA
5087,183,11
5089,130,5
5091,52,NA
5093,30,NA
5095,9,NA
5097,8,NA
5099,8,NA
51001,28,NA
51003,388,52
51005,20,NA
51007,7,NA
51009,30,NA
5101,53,NA
51011,27,NA
51013,231,20
51015,176,13
51017,5,NA
51019,320,26
51021,41,NA
51023,95,NA
51025,26,NA
51027,23,1
51029,39,2
5103,27,NA
51031,304,26
51033,62,12
51035,51,NA
51036,65,NA
51037,32,NA
51041,486,35
51043,37,NA
51045,7,NA
51047,146,3
51049,44,2
5105,8,NA
51051,23,NA
51053,43,4
51057,16,1
51059,1265,123
51061,129,NA
51063,28,1
51065,44,NA
51067,96,2
51069,276,24
5107,16,NA
51071,11,NA
51073,39,NA
51075,102,2
51077,26,NA
51079,11,NA
51081,14,NA
51083,45,3
51085,126,15
51087,489,45
51089,56,1
5109,20,1
51091,2,NA
51093,30,1
51095,97,8
51097,22,1
51099,15,NA
51101,18,NA
51103,9,NA
51105,42,NA
51107,404,17
51109,29,NA
5111,17,NA
51111,48,2
51113,83,3
51115,5,NA
51117,41,2
51119,6,NA
51121,144,10
51125,26,NA
51127,41,NA
5113,14,NA
51131,20,1
51133,5,NA
51135,9,NA
51137,104,3
51139,22,NA
51141,40,NA
51143,155,11
51145,140,7
51147,33,2
51149,68,9
5115,69,6
51153,311,28
51155,39,2
51157,34,NA
51159,10,NA
51161,412,27
51163,32,NA
51165,177,12
51167,39,NA
51169,30,NA
5117,33,1
51171,39,NA
51173,46,NA
51175,31,1
51177,130,11
51179,62,NA
51181,9,NA
51183,22,NA
51185,64,7
51187,45,NA
5119,745,114
51191,107,4
51193,23,NA
51195,53,2
51197,41,1
51199,179,9
5121,43,NA
5123,38,NA
5125,117,2
5127,38,NA
5129,12,NA
5131,235,16
5133,24,1
5135,22,NA
5137,53,NA
5139,69,3
5141,16,NA
5143,332,13
5145,106,7
5147,42,2
5149,28,NA
51510,109,8
51520,14,NA
51530,2,NA
51540,282,45
51550,347,18
51570,36,6
51580,6,NA
51590,103,8
51595,14,NA
51600,181,22
51610,311,51
51620,11,1
51630,242,22
51640,21,NA
51650,264,9
51660,140,12
51670,17,1
51678,24,NA
51680,297,26
51683,85,5
51685,85,5
51690,44,1
51700,420,22
51710,528,31
51720,24,2
51730,50,8
51735,6,NA
51740,113,3
51750,13,1
51760,779,72
51770,407,25
51775,190,5
51790,37,NA
51800,155,10
51810,783,37
51820,24,NA
51830,97,8
51840,211,24
53001,26,NA
53003,16,NA
53005,338,17
53007,140,13
53009,118,4
53011,444,31
53013,14,NA
53015,109,2
53017,41,NA
53019,8,NA
53021,63,1
53023,24,NA
53025,97,NA
53027,54,NA
53029,24,NA
53031,51,1
53033,3064,209
53035,272,12
53037,67,NA
53039,21,1
53041,82,NA
53043,31,NA
53045,127,7
53047,73,NA
53049,10,NA
53051,30,NA
53053,1070,52
53055,44,NA
53057,205,12
53059,20,NA
53061,843,38
53063,867,56
53065,58,NA
53067,388,23
53069,100,2
53071,72,2
53073,268,18
53075,56,1
53077,279,13
54001,124,3
54003,108,2
54005,26,NA
54007,10,NA
54009,176,11
54011,331,24
54013,5,NA
54015,13,NA
54017,10,NA
54019,163,10
54021,5,NA
54023,32,NA
54025,83,1
54027,9,NA
54029,29,5
54031,22,NA
54033,184,4
54035,38,NA
54037,67,NA
54039,456,28
54041,55,2
54043,49,1
54045,38,NA
54047,20,NA
54049,166,4
54051,173,7
54053,23,NA
54055,103,2
54057,27,NA
54059,14,1
54061,454,37
54063,21,NA
54065,12,NA
54067,50,NA
54069,152,6
54071,15,NA
54073,2,NA
54075,13,NA
54077,53,NA
54079,100,2
54081,135,11
54083,48,2
54085,18,NA
54087,8,NA
54089,11,1
54091,147,4
54093,9,NA
54095,17,1
54097,25,NA
54099,182,15
54101,10,NA
54103,11,1
54105,7,NA
54107,153,7
54109,10,NA
55001,54,NA
55003,39,1
55005,59,1
55007,46,1
55009,517,34
55011,10,NA
55013,40,NA
55015,111,3
55017,188,15
55019,113,12
55021,134,NA
55023,41,NA
55025,1113,92
55027,210,3
55029,24,NA
55031,20,NA
55033,310,23
55035,341,23
55037,2,NA
55039,247,10
55041,14,NA
55043,63,NA
55045,72,5
55047,35,NA
55049,57,NA
55051,8,NA
55053,49,NA
55055,149,3
55057,26,NA
55059,235,13
55061,46,NA
55063,390,20
55065,42,NA
55067,25,NA
55069,53,NA
55071,93,2
55073,375,30
55075,62,3
55077,47,NA
55078,43,NA
55079,1800,149
55081,76,NA
55083,90,NA
55085,86,1
55087,543,20
55089,269,8
55091,7,NA
55093,31,NA
55095,63,NA
55097,179,NA
55099,12,NA
55101,261,9
55103,16,NA
55105,219,11
55107,45,1
55109,107,NA
55111,117,NA
55113,27,NA
55115,79,NA
55117,146,4
55119,10,NA
55121,18,NA
55123,28,NA
55125,44,1
55127,160,5
55129,70,1
55131,243,6
55133,712,28
55135,63,NA
55137,66,NA
55139,339,7
55141,141,12
56001,51,NA
56003,31,NA
56005,41,2
56007,23,NA
56009,13,NA
56011,2,NA
56013,63,NA
56015,18,NA
56017,19,NA
56019,9,NA
56021,135,5
56023,18,1
56025,143,10
56027,11,NA
56029,47,2
56031,5,NA
56033,45,2
56035,4,NA
56037,34,1
56039,40,2
56041,21,NA
56043,11,NA
56045,12,NA
6001,701,76
6003,4,NA
6005,20,2
6007,172,15
6009,16,NA
6011,7,NA
6013,532,77
6015,19,NA
6017,86,8
6019,512,56
6021,6,NA
6023,154,4
6025,82,4
6027,10,NA
6029,414,34
6031,83,5
6033,19,3
6035,15,NA
6037,4873,677
6039,159,39
6041,123,20
6043,4,NA
6045,57,3
6047,116,10
6049,2,NA
6051,11,NA
6053,287,33
6055,126,16
6057,83,10
6059,1802,229
6061,263,23
6063,11,NA
6065,1296,105
6067,948,126
6069,12,1
6071,1119,92
6073,1995,249
6075,694,126
6077,237,44
6079,244,26
6081,250,54
6083,281,25
6085,1210,191
6087,252,10
6089,167,17
6093,26,1
6095,270,23
6097,272,35
6099,263,34
6101,93,10
6103,41,2
6105,7,1
6107,312,20
6109,49,4
6111,556,64
6113,145,3
6115,57,6
66010,56,1
69110,13,NA
8001,1001,78
8003,32,1
8005,1525,116
8007,14,2
8009,5,NA
8011,27,NA
8013,569,23
8014,206,2
8015,11,1
8017,1,NA
8019,12,NA
8021,30,1
8023,1,NA
8027,31,NA
8029,24,NA
8031,1247,64
8033,5,NA
8035,506,12
8037,90,2
8039,54,NA
8041,893,50
8043,41,1
8045,62,2
8047,89,NA
8049,11,NA
8051,34,NA
8053,14,1
8055,12,NA
8059,894,51
8061,1,NA
8063,8,NA
8065,10,NA
8067,97,10
8069,598,35
8071,21,NA
8073,10,NA
8075,14,1
8077,274,10
8081,17,1
8083,19,NA
8085,77,4
8087,26,NA
8089,16,NA
8091,5,NA
8093,15,NA
8095,8,NA
8097,26,1
8099,13,NA
8101,244,14
8103,17,NA
8105,11,NA
8107,43,2
8109,24,NA
8111,82,9
8113,8,NA
8115,8,NA
8117,31,1
8119,77,NA
8121,12,NA
8123,643,22
8125,27,NA
99999,40,NA
